product_code,name,base_unit,active
31030001,KREP MSK 060 Y ŽUTI 150/550,kom,true
31050001,AMERICAN SIVI 150/350 DUCT TAPE,kom,true
31090011,Aluminijska škart folija (neutro 330mm),kom,true
32010002,PVC CRNA 50/66 FP,kom,true
32010006,PVC PROZIRNA 25/66 FP,kom,true
32010007,PVC CRVENA 50/66 FP,kom,true
32010008,PVC ŽUTA 50/66 FP,kom,true
32010009,PVC NARANČASTA FLUORESCENTNA 50/66 FP,kom,true
32010011,PP 701 BIJELA 50/66 FP,kom,true
32010012,PVC ŽUTA 38/66 FP,kom,true
32010014,PVC ZELENA 50/66 FP,kom,true
32010016,PVC NARANČASTA 50/66 FP,kom,true
32010027,PVC ŽUTA 25/66 FP,kom,true
32010028,PVC ZELENA 25/66 FP,kom,true
32010036,PP 735 SMEĐA 50/660 FP,kom,true
32010037,PVC 330 SMEĐA 50/66 FP,kom,true
32010044,PP 701 PROZIRNA 25/66 FP,kom,true
32010047,PP 701 BIJELA 12/66 FP,kom,true
32010049,PP 701 CRVENA 50/66 FP,kom,true
32010075,PVC 330 SMEĐA 25/66 FP,kom,true
32010087,PP 701 SMEĐA 50/66 FP,kom,true
32010100,PP 701 BIJELA 75/66 FP,kom,true
32010105,PVC CRVENA 25/66 FP,kom,true
32010112,PP 701 BIJELA 50/100 FP,kom,true
32010113,PP 701 SMEĐA 25/66 FP,kom,true
32010120,PVC CRNA 10/66 FP,kom,true
32010137,PP 701 PROZIRNA 38/990 FP,kom,true
32010144,PVC NARANČASTA 25/66 FP,kom,true
32010146,PP 600 PROZIRNA 25/66 FP,kom,true
32010152,PP 701 PROZIRNA 75/660 FP,kom,true
32010167,PP 701 PROZIRNA 50/132 FP,kom,true
32010183,PVC BIJELA 240/330 FP,kom,true
32010184,PP 701 BIJELA 10/66 FP,kom,true
32010186,PVC CRVENA 38/66 FP,kom,true
32010198,PVC BIJELA 165/330 FP,kom,true
32010201,PP 735 PROZIRNA 50/66  FP,kom,true
32010202,PVC ŽUTA 100/66 FP 35my,kom,true
32010208,PP 701 PROZIRNA 15/66 FP,kom,true
32010209,PP 735 BIJELA 50/66 FP,kom,true
32010211,PP 600 PROZIRNA 38/66 FP,kom,true
32010220,PP 732 BIJELA 50/990 FP,kom,true
32010225,PP 600 SMEĐA 25/66 FP,kom,true
32010245,PP 701 PROZIRNA 25/495 FP,kom,true
32010249,PP 701 PROZIRNA 15/132 FP,kom,true
32010250,PVC ŽUTA 40/66 FP,kom,true
32010251,PP 600 SMEĐA 75/66 FP,kom,true
32010252,PP 701 SMEĐA 50/990 BELUPO,kom,true
32010253,PP 600 PROZIRNA 75/66 FP,kom,true
32010255,PP 600 BIJELA 75/66 WOW FACTOR,kom,true
32020001,PP 701 BIJELA 50/66 ŠPINA,kom,true
32020011,PP 701 BIJELA 50/66 AKD,kom,true
32020020,PP 701 BIJELA 50/66 BIG BANG,kom,true
32020023,PP 701 BIJELA 50/66 ČURI MURI,kom,true
32020049,PP 701 BIJELA 50/66 TIM NOVAK SANITARIJE,kom,true
32020053,PP 701 BIJELA 50/66 DRVOSTIL,kom,true
32020068,PP 701 SMEĐA 50/66 KONTROLA,kom,true
32020069,PP 735 SMEĐA 50/660 LEK,kom,true
32020078,PP 701 BIJELA 50/66 FILIX,kom,true
32020082,PP 701 BIJELA 50/66 GALTOP,kom,true
32020095,PP 701 BIJELA 50/66 IGLU ŠPORT,kom,true
32020099,PP 701 BIJELA 50/66 INO,kom,true
32020110,PP 701 BIJELA 50/66 KO FLEX,kom,true
32020119,PP 701 BIJELA 50/66 LEK SKLADIŠČE,kom,true
32020124,PP 701 BIJELA 75/66 KLS,kom,true
32020132,PP 701 BIJELA 50/66 MIK CELJE,kom,true
32020134,PVC BIJELA 50/66 MIOTTO,kom,true
32020153,PVC BIJELA 50/66 PMR,kom,true
32020160,PP 701 BIJELA 50/66 PROPLACE,kom,true
32020170,PP 701 BIJELA 50/66 TRUTANIĆ,kom,true
32020184,PP 701 BIJELA 50/66 SALUS,kom,true
32020186,PVC BIJELA 50/66 SCHAFER ROLLS,kom,true
32020204,PP 701 BIJELA 50/66 IVERO ZAGREB,kom,true
32020205,PP 701 BIJELA 50/66 FORUM ZADAR,kom,true
32020210,PP 701 BIJELA 50/66 TERMODINAMIKA,kom,true
32020225,PP 701 BIJELA 50/66 ENTRADA,kom,true
32020227,PP 701 BIJELA 50/66 SEALTECH,kom,true
32020234,PP 701 BIJELA 50/66 BESTSELLER TV,kom,true
32020237,PP 701 BIJELA 50/66 PASTOR,kom,true
32020240,PP 701 BIJELA 50/66 MEDIMON,kom,true
32020243,PP 701 BIJELA 50/66 SENSIT,kom,true
32020248,PP 701 BIJELA 50/66 PONISTRA BIORINE,kom,true
32020263,PP 701 PROZIRNA 50/66 RASCO,kom,true
32020265,PP 701 BIJELA 50/66 HARMOLUX,kom,true
32020269,PVC BIJELA 50/66 MI-GLASS,kom,true
32020277,PVC BIJELA 50/66 HORVAT STROJARSTVO,kom,true
32020279,PP 701 BIJELA 50/66 FRANKA MARINE,kom,true
32020285,PVC BIJELA 50/66 FORMATOR,kom,true
32020299,PVC BIJELA 50/66 ZGODITAK,kom,true
32020303,PP 701 BIJELA 50/66 AL GLOBAL,kom,true
32020304,PP 701 BIJELA 50/66 INTERMONT,kom,true
32020306,PP 701 BIJELA TONIRANO CRVENA 50/66 KONZUM MAXX,kom,true
32020321,PP 701 BIJELA 50/66 SANITARIA,kom,true
32020323,PP 701 BIJELA 15/66 AKD,kom,true
32020337,PP 701 BIJELA 50/66 BIOLAB THULE,kom,true
32020338,PP 701 BIJELA 50/66 ELEKTROSPOJI,kom,true
32020339,PP 701 PROZIRNA 50/66 CYTOSTATIKA,kom,true
32020343,PP 701 BIJELA 50/900 DS SMITH SIVI TISAK,kom,true
32020344,PP 701 BIJELA 50/900 DS SMITH NARANČ. TISAK,kom,true
32020352,PVC BIJELA 45/330 LIM-MONT,kom,true
32020353,PP 701 PROZIRNA 50/66 LEILOU,kom,true
32020356,PP 701 BIJELA 50/66 SOLDO METALI,kom,true
32020360,PP 701 BIJELA 50/66 HIDROEX,kom,true
32020361,PP 735 BIJELA 50/66 CROATIA RECORDS,kom,true
32020373,PP 701 ŽUTA 50/66 TRAMAX,kom,true
32020375,PP 701 BIJELA 25/66 1+1 GRATIS,kom,true
32020376,PP 701 BIJELA 25/66 GRATIS,kom,true
32020377,PP 701 BIJELA 50/66 EUROPROFIL,kom,true
32020378,PP 701 BIJELA 50/66 VOKEL,kom,true
32020382,PP 701 BIJELA 50/66 URIHO,kom,true
32020384,PP 701 BIJELA 50/66 SKOMATO,kom,true
32020388,PP 701 BIJELA 50/66 MIKRO-TRGOVINA,kom,true
32020394,PP 701 BIJELA 50/66 PLIVA HRVATSKA KVALITETA,kom,true
32020399,PVC BIJELA 50/66 ETIGRAF,kom,true
32020400,PP 701 BIJELA 50/66 ARBONI,kom,true
32020401,PP 701 BIJELA 50/66 TISAK,kom,true
32020403,PP 735 BIJELA 50/66 PODACER,kom,true
32020409,PP 701 BIJELA 50/66 BOROVO,kom,true
32020413,PVC BIJELA 55/330 LIM MONT,kom,true
32020414,PVC BIJELA 75/330 LIM MONT,kom,true
